instance,num_colors,time,pr_solutions
100.col,3,6,10
10.col,3,6,10
11.col,2,4,10
12.col,2,5,10
13.col,3,5,10
14.col,3,6,10
15.col,3,5,10
16.col,3,6,10
17.col,3,5,10
18.col,3,4,10
19.col,3,5,10
1.col,3,6,10
20.col,3,5,10
21.col,3,4,10
22.col,3,5,10
23.col,3,4,10
24.col,3,12,10
25.col,3,9,10
26.col,3,6,10
27.col,3,6,10
28.col,3,5,10
29.col,3,5,10
2.col,3,4,10
30.col,3,5,10
31.col,3,4,10
32.col,3,5,10
33.col,3,5,10
34.col,3,6,10
35.col,3,5,10
36.col,3,6,10
37.col,3,4,10
38.col,3,5,10
39.col,3,4,10
3.col,3,6,10
40.col,3,5,10
41.col,3,4,10
42.col,3,5,10
43.col,3,4,10
44.col,3,4,10
45.col,3,5,10
46.col,3,4,10
47.col,3,5,10
48.col,3,6,10
49.col,3,6,10
4.col,3,5,10
50.col,3,6,10
51.col,4,6,10
52.col,3,5,10
53.col,4,5,10
54.col,3,5,10
55.col,3,4,10
56.col,4,5,10
57.col,3,6,10
58.col,3,4,10
59.col,3,4,10
5.col,3,5,10
60.col,3,6,10
61.col,3,4,10
62.col,3,5,10
63.col,3,5,10
64.col,3,5,10
65.col,3,4,10
66.col,3,5,10
67.col,3,5,10
68.col,3,5,10
69.col,3,5,10
6.col,3,4,10
70.col,3,5,10
71.col,3,5,10
72.col,3,5,10
73.col,3,6,10
74.col,3,5,10
75.col,3,4,10
76.col,3,5,10
77.col,3,5,10
78.col,3,5,10
79.col,3,5,10
7.col,3,6,10
80.col,3,5,10
81.col,3,5,10
82.col,3,5,10
83.col,3,5,10
84.col,3,6,10
85.col,3,4,10
86.col,3,7,10
87.col,3,7,10
88.col,3,8,10
89.col,3,7,10
8.col,4,6,10
90.col,3,7,10
91.col,3,4,10
92.col,3,6,10
93.col,3,5,10
94.col,4,6,10
95.col,3,5,10
96.col,3,4,10
97.col,3,5,10
98.col,3,6,10
99.col,3,6,10
9.col,3,6,10
